id,identifiant,nom,prenom,email,telephone
1,E2025001,Petit,Lucas,lucas.petit@etu.estiam.fr,0601020301
2,E2025002,Moreau,Emma,emma.moreau@etu.estiam.fr,0601020302
3,E2025003,Laurent,Hugo,hugo.laurent@etu.estiam.fr,0601020303
4,E2025004,Simon,Chloe,chloe.simon@etu.estiam.fr,0601020304
5,E2025005,Michel,Nathan,nathan.michel@etu.estiam.fr,0601020305
6,E2025006,Leroy,Lea,lea.leroy@etu.estiam.fr,0601020306
7,E2025007,Roux,Tom,tom.roux@etu.estiam.fr,0601020307
8,E2025008,David,Manon,manon.david@etu.estiam.fr,0601020308
9,E2025009,Bertrand,Enzo,enzo.bertrand@etu.estiam.fr,0601020309
10,E2025010,Morel,Jade,jade.morel@etu.estiam.fr,0601020310
11,E2025011,Fournier,Louis,louis.fournier@etu.estiam.fr,0601020311
12,E2025012,Girard,Camille,camille.girard@etu.estiam.fr,0601020312
13,E2025013,Bonnet,Raphael,raphael.bonnet@etu.estiam.fr,0601020313
14,E2025014,Dupuis,Sarah,sarah.dupuis@etu.estiam.fr,0601020314
15,E2025015,Lambert,Maxime,maxime.lambert@etu.estiam.fr,0601020315
